tag,count,min,p500,p900,p950,p990,p999,mean,std,max
alloc_all,500483,84.0,378.0,672.0,714.0,1386.0,1848.0,474.77162261255626,3071.6942706421833,360234.0
alloc_from_tree,500470,84.0,378.0,672.0,714.0,1386.0,1848.0,474.32859911683016,3055.0467997677506,360234.0
alloc_not_from_tree,13,84.0,84.0,126.0,90745.19999999968,199488.2399999998,223955.4240000003,17530.153846153848,62839.908516067175,226674.0
alloc_type=u1024,62362,84.0,420.0,672.0,756.0,1470.0,15086.190000002127,740.8229691158077,8415.28301780238,360234.0
alloc_type=u128,62467,84.0,504.0,714.0,756.0,1512.0,1848.0,511.94790849568574,260.10936507478334,17640.0
alloc_type=u16,62934,84.0,294.0,630.0,672.0,1092.0,1806.0,368.0655925255029,305.7270261120552,44058.0
alloc_type=u256,62698,84.0,462.0,714.0,756.0,1512.0,1848.0,506.79004114963794,260.61296128414193,16926.0
alloc_type=u32,62576,84.0,378.0,630.0,714.0,1344.0,1848.0,417.4850741498338,946.2890208281085,226674.0
alloc_type=u512,62624,84.0,462.0,672.0,756.0,1512.0,1890.0,510.09169008686763,1873.783061992039,277242.0
alloc_type=u64,62080,84.0,378.0,672.0,714.0,1386.0,1848.0,444.14458762886596,275.2584909027926,16632.0
alloc_type=u8,62742,84.0,252.0,546.0,630.0,798.0,1764.0,300.5401166682605,235.42527609129093,17850.0
free_all,499517,42.0,252.0,378.0,420.0,546.0,1008.0,290.5049958259679,1375.6827310986193,292488.0
free_type=u1024,62243,42.0,294.0,420.0,462.0,588.0,1218.0,350.2134537217037,3785.1764002441796,292488.0
free_type=u128,62352,42.0,294.0,378.0,462.0,546.0,924.0,292.8333333333333,199.61848055243507,38136.0
free_type=u16,62816,42.0,252.0,378.0,420.0,546.0,882.0,268.603158430973,130.06247321943596,15792.0
free_type=u256,62591,42.0,294.0,420.0,462.0,588.0,1134.0,295.96811043121215,133.39028146316667,13566.0
free_type=u32,62437,42.0,252.0,378.0,420.0,546.0,924.0,273.43152297515894,127.14272344999141,13692.0
free_type=u512,62497,42.0,294.0,420.0,462.0,588.0,1176.0,300.6437108981231,839.9665685047746,192864.0
free_type=u64,61965,42.0,252.0,378.0,420.0,546.0,1008.0,279.036843379327,178.73351965734392,15414.0
free_type=u8,62616,42.0,252.0,378.0,420.0,504.0,924.0,263.59869681870447,153.94536209888537,15708.0
