tag,count,min,p500,p900,p950,p990,p999,mean,std,max
alloc_all,494422,126.0,210.0,462.0,672.0,1302.0,2100.0,293.6002362354426,982.1429092085577,248220.0
alloc_type=o0,45835,126.0,252.0,756.0,1176.0,1890.0,2814.0,394.6955383440602,372.65301739793006,15792.0
alloc_type=o1,46035,126.0,210.0,630.0,1008.0,1680.0,2562.0,339.79719778429455,353.5461954816412,14742.0
alloc_type=o10,38264,126.0,210.0,252.0,294.0,378.0,462.0,214.90643947313401,206.8710423912723,33306.0
alloc_type=o2,46158,126.0,210.0,546.0,840.0,1428.0,2142.0,307.93357597816197,266.73218635940964,12810.0
alloc_type=o3,46022,126.0,210.0,504.0,756.0,1260.0,1890.0,301.24701229846596,1125.9015650169263,235368.0
alloc_type=o4,45771,126.0,210.0,504.0,714.0,1092.0,1638.0,291.1251228944091,811.455590560341,165984.0
alloc_type=o5,45922,126.0,210.0,504.0,672.0,966.0,1386.0,282.01241235137843,188.64579026090541,12768.0
alloc_type=o6,45654,126.0,210.0,504.0,630.0,840.0,1218.0,276.0524379024839,200.0145798063199,14028.0
alloc_type=o7,45859,126.0,210.0,462.0,546.0,756.0,1092.0,270.07980985193745,1008.7557881520748,214200.0
alloc_type=o8,45265,126.0,210.0,420.0,504.0,630.0,924.0,279.2376007953165,2192.2708924553003,248220.0
alloc_type=o9,43637,126.0,210.0,378.0,420.0,546.0,714.0,257.221486353324,1534.9455836686427,231882.0
alloc_splits=0,357341,126.0,210.0,252.0,252.0,336.0,420.0,200.00296075737182,131.51136598138592,33306.0
alloc_splits=1,90423,252.0,378.0,462.0,546.0,714.0,1512.0,395.2379151322119,1203.605714355992,231882.0
alloc_splits=2,24276,336.0,546.0,672.0,840.0,1176.0,2382.4500000000917,612.7525951557093,2988.3861612063556,248220.0
alloc_splits=3,8222,462.0,714.0,882.0,1092.0,1596.0,2879.436000000038,764.3060082704937,2364.832970524534,214200.0
alloc_splits=4,4030,588.0,840.0,1050.0,1176.0,1722.0,3020.3460000000578,860.0099255583126,243.73089966746574,3948.0
alloc_splits=5,2641,714.0,966.0,1260.0,1386.0,1915.1999999999962,3615.360000000016,993.0352139341159,282.9039226333338,3780.0
alloc_splits=6,2022,840.0,1050.0,1428.0,1512.0,2016.0,2520.0,1120.373887240356,249.36279937204188,2772.0
alloc_splits=7,1693,966.0,1176.0,1638.0,1764.0,2313.359999999997,2972.424000000083,1425.2959243945659,5695.664844781435,235368.0
alloc_splits=8,1384,1134.0,1302.0,1806.0,2058.0,2611.140000000003,3159.828000000016,1436.0115606936415,313.2741561343418,3234.0
alloc_splits=9,1273,1218.0,1512.0,1932.0,2184.0,2856.0,3490.0320000000193,1604.446190102121,473.48369912436823,14448.0
alloc_splits=10,1117,1386.0,1680.0,2142.0,2394.0,3108.0,3783.024000000005,1789.154879140555,319.6358622149534,3906.0
free_all,494395,126.0,210.0,546.0,756.0,1344.0,1890.0,315.97979753031484,267.4923036087438,40194.0
free_type=o0,45834,126.0,294.0,756.0,1134.0,1764.0,2772.0,407.1381070820788,367.39487024020343,13860.0
free_type=o1,46035,126.0,252.0,672.0,966.0,1554.0,2478.0,357.33163897034865,324.63467464013746,14952.0
free_type=o10,38261,126.0,210.0,252.0,294.0,378.0,462.0,219.34601813857452,112.02846607132668,12642.0
free_type=o2,46154,126.0,210.0,630.0,924.0,1428.0,2226.0,336.872687091043,294.4161079552554,14196.0
free_type=o3,46021,126.0,210.0,588.0,840.0,1302.0,1974.0,324.2900849612134,267.9924079372208,14868.0
free_type=o4,45770,126.0,252.0,588.0,840.0,1176.0,1848.0,322.19973781953246,283.3650702315087,15834.0
free_type=o5,45919,126.0,252.0,546.0,798.0,1050.0,1512.0,317.9721683834578,225.39917987364717,15582.0
free_type=o6,45652,126.0,252.0,546.0,714.0,966.0,1302.0,309.6593796547796,203.77996020563907,12894.0
free_type=o7,45854,126.0,252.0,546.0,672.0,882.0,1176.0,302.69328739041305,314.49393338351877,40194.0
free_type=o8,45260,126.0,252.0,504.0,588.0,756.0,1008.0,291.2569155987627,228.37064446546552,31710.0
free_type=o9,43635,126.0,210.0,462.0,462.0,546.0,756.0,268.06751460983156,133.016849548754,11928.0
