tag,count,min,p500,p900,p950,p990,p999,mean,std,max
alloc_all,500483,42.0,378.0,462.0,504.0,1176.0,1638.0,415.3075888691524,3490.5541887114373,316428.0
alloc_from_tree,0,,,,,,,,0.0,
alloc_not_from_tree,500483,42.0,378.0,462.0,504.0,1176.0,1638.0,415.3075888691524,3490.5541887114373,316428.0
alloc_type=u1024,62362,84.0,378.0,504.0,546.0,1260.0,263281.78800001106,728.9803726628395,9581.59140909891,316428.0
alloc_type=u128,62467,84.0,420.0,504.0,546.0,1344.0,1680.0,408.55248371139965,234.20613874812696,16464.0
alloc_type=u16,62934,84.0,294.0,462.0,504.0,882.0,1638.0,329.99637715702164,333.24739629347897,70560.0
alloc_type=u256,62698,84.0,420.0,504.0,546.0,1302.0,1638.0,408.8029921209608,206.1162374815929,18186.0
alloc_type=u32,62576,42.0,336.0,462.0,504.0,1092.0,1638.0,357.43828304781385,1002.4389595746858,246162.0
alloc_type=u512,62624,84.0,420.0,504.0,546.0,1260.0,1638.0,420.1623019928462,2130.9778008517037,279090.0
alloc_type=u64,62080,84.0,378.0,462.0,504.0,1218.0,1638.0,373.6254510309278,186.41141383898355,14448.0
alloc_type=u8,62742,42.0,252.0,420.0,462.0,588.0,1554.0,296.44534761403844,195.1969716315514,36372.0
free_all,499517,42.0,252.0,378.0,420.0,504.0,714.0,269.93393618235217,250.7863278669736,124026.0
free_type=u1024,62243,42.0,252.0,378.0,420.0,504.0,756.0,279.6819562039105,119.33157721493357,11298.0
free_type=u128,62352,42.0,252.0,378.0,420.0,504.0,672.0,279.00173210161665,118.85974430371343,14448.0
free_type=u16,62816,42.0,252.0,378.0,420.0,462.0,588.0,257.2172376464595,120.39393560540833,12810.0
free_type=u256,62591,42.0,252.0,378.0,420.0,504.0,798.0,282.5228227700468,508.03671171453277,124026.0
free_type=u32,62437,42.0,252.0,378.0,420.0,462.0,588.0,261.33340807533995,129.17911807068566,14280.0
free_type=u512,62497,42.0,252.0,378.0,420.0,504.0,840.0,280.51768884906477,126.2311890427925,12096.0
free_type=u64,61965,42.0,252.0,378.0,420.0,504.0,630.0,265.2639070442992,145.2113079324657,14910.0
free_type=u8,62616,42.0,252.0,378.0,378.0,462.0,630.0,254.02165580682254,382.89618001536945,90132.0
